LOCATION,X SERIAL,Y SERIAL,Z SERIAL,OT1
0.552036,-42.433348,-24.356698,8.333718,0.016152
0.602056,-46.31851,-26.603378,6.603577,0.013272
0.652033,-50.101822,-28.786804,4.589192,0.004781
0.701633,-53.841379,-30.938856,2.462714,0.020499
0.751209,-57.727946,-33.159444,0.701601,0.004719
0.801009,-61.654001,-35.381345,-0.970047,0.014754
0.850997,-65.532842,-37.560255,-2.799724,0.020408
0.900837,-69.351221,-39.683738,-4.813339,0.018037
0.950396,-73.218677,-41.833913,-6.699593,0.00342
1,-77.172499,-44.084581,-8.25768,0.046869
0,0,0,0,0.027523
0.050445,-3.025993,-1.664572,3.489487,0.057556
0.101639,-6.749097,-3.68328,5.932127,0.052816
0.151969,-10.876393,-5.998423,7.247845,0.013476
0.201944,-15.066316,-8.394831,8.174023,0.009757
0.251885,-19.283996,-10.822326,8.864016,0.009425
0.301809,-23.520171,-13.269904,9.335739,0.008429
0.351773,-27.764306,-15.734778,9.598295,0.019304
0.401738,-31.99954,-18.227764,9.547993,0.00293
0.451918,-36.227315,-20.704399,9.185476,0.024433
0.502174,-40.396173,-23.134916,8.26515,0.021321
0.552333,-44.46371,-25.495003,6.840754,0.016654
0.602421,-48.416071,-27.77906,5.021064,0.014527
0.652486,-52.247035,-29.974582,2.863922,0.012376
0.701956,-56.046929,-32.100821,0.58723,0.022061
0.751571,-59.984978,-34.32937,-1.332438,0.001319
0.801475,-63.918851,-36.550623,-3.2686,0.012313
0.851513,-67.748455,-38.696056,-5.477547,0.008568
0.901211,-71.50375,-40.798484,-7.852093,0.020846
0.950598,-75.369235,-42.989104,-9.950078,0.054022
1,-79.417768,-45.339888,-11.443178,0.049058
0,0,0,0,0.031811
0.050531,-3.036399,-1.654405,3.477946,0.061301
0.101985,-6.774751,-3.653761,5.902283,0.054307
0.152388,-10.90624,-5.955716,7.20881,0.013524
0.202364,-15.094556,-8.345776,8.131279,0.009704
0.252299,-19.30883,-10.769509,8.818546,0.009415
0.302212,-23.540478,-13.214974,9.288118,0.008479
0.352178,-27.778674,-15.679974,9.548672,0.019776
0.402138,-32.004487,-18.17876,9.497957,0.003973
